loan_id,customer_id,loan_amount,loan_type,interest_rate,loan_term,approval_rejection_date,loan_status
1,188,442263.49,Business,12.49,48,2024-11-08,Rejected
2,53,18231.54,Personal,8.22,60,2021-09-02,Rejected
3,194,32268.95,Car,4.97,12,2023-12-20,Approved
4,53,256397.46,Business,3.89,12,2023-04-30,Approved
5,40,173129.85,Business,10.11,240,2025-02-22,Approved
6,47,406841.76,Personal,4.15,12,2026-03-18,Approved
7,187,16091.29,Mortgage,8.13,36,2022-01-06,Approved
8,157,13397.14,Personal,10.11,60,2021-09-15,Approved
9,188,49457.08,Mortgage,9.71,36,2022-06-05,Approved
10,159,50431.74,Business,3.78,36,2022-04-18,Rejected
11,177,24162.04,Business,9.52,360,2023-10-08,Pending
12,158,392762.6,Personal,6.96,24,2023-07-02,Approved
13,102,119304.61,Car,13.31,36,2026-06-12,Pending
14,48,161145.5,Mortgage,6.99,240,2022-07-27,Rejected
15,48,235855.65,Business,8.67,48,2024-12-24,Rejected
16,73,341119.93,Car,11.52,120,2023-01-01,Rejected
17,43,281363.6,Personal,13.97,36,2025-08-25,Approved
18,178,155499.24,Mortgage,11.23,48,2023-09-26,Approved
19,24,30598.5,Car,13.72,48,2023-09-13,Rejected
20,172,403054.42,Car,13.54,48,2023-04-08,Approved
21,30,289113.72,Business,5.27,360,2022-02-25,Approved
22,77,230918.8,Personal,10.39,36,2023-04-29,Approved
23,96,464922.95,Car,11.76,240,2024-08-19,Approved
24,23,432488.86,Mortgage,6.88,24,2021-07-11,Pending
25,74,416124.17,Business,8.11,24,2025-09-10,Rejected
26,66,213036.75,Car,13.9,360,2022-03-18,Approved
27,177,205104.8,Mortgage,11.51,240,2026-05-15,Rejected
28,196,372734.41,Mortgage,10.96,12,2025-08-07,Approved
29,36,114205.98,Personal,7.45,48,2025-09-06,Rejected
30,199,158482.9,Mortgage,10.62,36,2021-02-14,Pending
31,3,468464.91,Business,4.11,60,2025-03-30,Approved
32,19,202208.62,Business,10.13,60,2022-02-04,Rejected
33,49,167496.94,Business,7.88,120,2026-02-09,Approved
34,73,237605.69,Business,5.12,24,2022-08-06,Approved
35,184,493179.03,Business,11.04,240,2026-07-11,Approved
36,122,460888.02,Personal,10.47,36,2023-10-25,Approved
37,6,87018.83,Mortgage,4.16,360,2026-03-07,Pending
38,92,169674.8,Mortgage,6.22,240,2023-11-22,Rejected
39,84,387968.42,Car,5.81,60,2023-12-14,Approved
40,26,251953.9,Mortgage,4.61,48,2021-09-25,Approved
41,119,256374.84,Business,10.52,24,2021-12-29,Approved
42,182,259941.81,Personal,13.39,36,2021-08-03,Approved
43,22,25070.98,Business,13.69,48,2021-02-04,Rejected
44,117,459990.31,Mortgage,4.23,240,2025-02-02,Approved
45,70,105412.95,Car,8.51,36,2023-01-20,Rejected
46,161,176281.64,Car,6.58,240,2026-06-26,Rejected
47,159,306652.63,Mortgage,5.22,60,2023-07-17,Approved
48,178,391059.28,Car,10.99,240,2023-07-13,Pending
49,143,334262.05,Personal,5.34,12,2025-04-28,Approved
50,25,101213.48,Car,10.12,36,2022-06-05,Rejected
51,90,302568.08,Car,8.35,36,2021-11-07,Approved
52,101,365282.21,Car,3.86,12,2026-03-25,Approved
53,139,175699.39,Personal,12.81,12,2023-01-13,Approved
54,127,461901.27,Mortgage,14.53,48,2022-09-14,Approved
55,155,259928.77,Personal,12.87,240,2024-11-02,Approved
56,107,487081.21,Business,9.4,60,2024-04-03,Approved
57,87,42142.68,Personal,6.62,360,2025-10-21,Pending
58,110,57399.65,Business,7.94,24,2025-09-12,Approved
59,104,278718.98,Personal,12.92,48,2023-04-06,Approved
60,14,167424.91,Personal,4.11,360,2025-05-11,Approved
61,4,247038.19,Mortgage,3.53,60,2021-08-04,Rejected
62,82,252901.1,Business,9.65,360,2021-06-09,Approved
63,56,454463.02,Business,13.44,60,2023-05-15,Approved
64,74,140885.48,Car,13.13,36,2024-01-13,Pending
65,62,125506.62,Mortgage,6.78,12,2022-03-31,Rejected
66,79,43473.15,Personal,11.5,36,2024-01-25,Approved
67,165,224187.77,Mortgage,6.45,36,2026-01-20,Rejected
68,12,193126.18,Car,11.57,12,2023-01-22,Approved
69,113,112770.94,Mortgage,5.69,24,2021-03-14,Approved
70,162,400209.32,Business,12.97,12,2021-07-16,Approved
71,196,166709.58,Car,8.64,60,2022-03-28,Rejected
72,182,32292.67,Car,9.8,360,2022-11-01,Approved
73,161,95479.52,Mortgage,4.1,48,2021-10-31,Rejected
74,133,494429.04,Business,7.33,60,2024-02-08,Rejected
75,154,61763.81,Business,9.74,240,2023-04-07,Approved
76,144,363114.54,Personal,6.54,120,2026-02-28,Approved
77,71,468527.93,Mortgage,7.94,48,2022-08-16,Approved
78,113,431221.64,Mortgage,12.92,120,2022-10-21,Approved
79,29,14871.44,Mortgage,12.79,120,2026-05-04,Approved
80,194,274252.26,Personal,7.17,360,2024-04-25,Approved
81,19,329080.42,Car,11.55,36,2025-05-19,Approved
82,28,371616.24,Business,12.99,24,2026-05-31,Approved
83,147,400593.88,Mortgage,5.8,48,2021-07-13,Approved
84,7,446168.1,Business,12.34,36,2023-01-12,Pending
85,48,258774.87,Mortgage,14.3,24,2023-10-12,Approved
86,111,84970.94,Mortgage,6.19,360,2022-05-16,Approved
87,50,450761.35,Car,11.59,60,2026-02-21,Approved
88,109,335275.58,Business,8.24,24,2021-10-22,Approved
89,142,102112.41,Car,14.52,240,2021-12-12,Approved
90,187,480628.25,Car,3.51,120,2025-04-02,Approved
