transaction_id,account_id,transaction_date,transaction_type,transaction_amount,account_balance_after_transaction,branch_id,anomaly
1,165,2025-06-03 02:25:00,Withdrawal,605.89,48362.11,11,False
2,79,2026-02-21 00:23:00,Purchase,679.75,11819.89,10,False
3,100,2026-06-16 07:52:00,Transfer,807.55,69588.71,8,False
4,244,2025-02-08 19:06:00,Transfer,2712.49,9344.88,7,False
5,25,2025-05-03 12:38:00,Deposit,1927.55,46282.08,5,False
6,230,2026-09-01 14:32:00,Transfer,632.48,8177.09,2,False
7,239,2026-04-11 22:27:00,Purchase,198.73,7279.14,7,False
8,161,2026-08-14 13:44:00,Deposit,49.79,26961.1,8,False
9,172,2025-10-01 23:29:00,Withdrawal,105.98,68583.67,11,False
10,97,2025-08-12 20:12:00,Deposit,309.62,46505.06,11,False
11,200,2025-07-13 00:52:00,Withdrawal,277.29,73047.58,2,False
12,260,2025-08-29 06:06:00,Deposit,700.3,14460.4,1,False
13,159,2026-08-13 03:23:00,Transfer,189.13,26894.79,1,False
14,240,2026-05-30 22:48:00,Withdrawal,283.63,40843.61,11,False
15,44,2026-04-11 07:26:00,Deposit,399.38,9186.94,8,False
16,82,2026-01-18 11:40:00,Withdrawal,1174.9,55774.85,8,False
17,159,2026-05-26 04:46:00,Deposit,1637.8,25534.34,1,False
18,90,2026-02-03 12:11:00,Deposit,827.77,76726.93,7,False
19,201,2026-03-14 19:30:00,Purchase,2669.37,58193.24,4,False
20,37,2026-03-16 08:34:00,Purchase,763.66,78524.9,1,False
21,108,2026-04-28 18:44:00,Deposit,317.54,25250.53,5,False
22,184,2025-01-11 01:16:00,Deposit,118.97,87126.25,12,False
23,16,2026-05-24 17:10:00,Deposit,1418.88,48816.97,1,False
24,156,2025-08-10 19:49:00,Deposit,4064.0,67911.19,3,False
25,180,2025-06-21 03:36:00,Deposit,53.13,30186.89,7,False
26,161,2025-08-09 11:07:00,Purchase,317.39,27141.42,8,False
27,210,2025-03-30 23:15:00,Deposit,380.03,47017.52,11,False
28,250,2026-08-29 03:25:00,Transfer,2808.37,89476.24,3,False
29,148,2026-08-04 05:07:00,Deposit,27704.2,24888.21,12,True
30,135,2026-08-10 21:53:00,Transfer,722.44,76204.89,5,False
31,166,2025-05-11 04:10:00,Withdrawal,2503.24,3374.67,6,False
32,44,2026-08-14 14:27:00,Purchase,294.55,8910.36,8,False
33,80,2025-03-27 12:57:00,Transfer,833.65,3343.6,2,False
34,223,2025-07-01 02:58:00,Purchase,282.99,21792.16,6,False
35,96,2025-10-19 15:32:00,Deposit,420.6,47278.11,3,False
36,252,2026-04-10 11:28:00,Withdrawal,645.9,39232.27,12,False
37,38,2025-01-14 16:06:00,Purchase,139.98,41947.91,12,False
38,106,2025-03-03 13:23:00,Withdrawal,3705.28,41466.17,2,False
39,65,2025-08-30 15:49:00,Deposit,166.71,20285.23,8,False
40,89,2025-02-07 22:17:00,Withdrawal,1756.06,3662.89,2,False
41,206,2025-04-28 16:35:00,Purchase,284.37,17189.49,4,False
42,228,2026-02-12 00:02:00,Purchase,2096.33,66718.75,1,False
43,195,2026-01-28 13:07:00,Transfer,1643.61,10891.7,10,False
44,120,2025-06-05 17:08:00,Withdrawal,22650.84,26562.0,7,True
45,187,2026-04-02 13:04:00,Transfer,2890.42,56763.85,5,False
46,46,2025-07-27 21:41:00,Purchase,127.12,54180.53,11,False
47,89,2025-02-15 06:10:00,Withdrawal,1323.61,2795.83,4,False
48,70,2026-05-02 03:24:00,Transfer,215.02,14118.64,2,False
49,20,2025-02-18 05:36:00,Withdrawal,1246.83,67900.01,3,False
50,63,2025-10-12 07:07:00,Transfer,353.52,11231.79,2,False
51,8,2026-07-17 07:57:00,Withdrawal,548.77,71877.22,10,False
52,204,2025-05-05 19:54:00,Withdrawal,203.79,62966.7,3,False
53,61,2025-04-15 02:49:00,Purchase,485.95,78829.27,11,False
54,168,2025-09-27 01:06:00,Withdrawal,2030.12,89851.32,7,False
55,57,2025-03-16 05:43:00,Purchase,2825.84,31911.24,7,False
56,136,2025-10-18 11:22:00,Withdrawal,913.88,60834.05,9,False
57,97,2025-10-08 00:39:00,Transfer,1248.46,47828.99,5,False
58,113,2026-08-28 09:59:00,Purchase,1732.95,22762.29,8,False
59,13,2025-03-11 08:30:00,Withdrawal,807.92,74279.41,5,False
60,16,2025-10-18 23:45:00,Purchase,40602.12,34428.56,12,True
61,17,2025-03-08 18:06:00,Deposit,351.08,50838.83,5,False
62,205,2026-06-24 08:09:00,Purchase,2225.55,74674.65,7,False
63,147,2025-04-12 11:08:00,Withdrawal,790.89,53536.8,4,False
64,119,2026-01-28 10:24:00,Transfer,2983.55,92457.95,2,False
65,50,2025-01-21 17:54:00,Deposit,361.72,98509.85,1,False
66,7,2025-04-27 11:44:00,Transfer,628.67,89224.55,1,False
67,50,2026-04-09 04:57:00,Deposit,129.01,98415.75,12,False
68,164,2026-08-20 18:18:00,Purchase,302.84,75467.2,11,False
69,46,2025-07-13 02:12:00,Purchase,14.52,54118.59,5,False
70,138,2025-02-08 20:35:00,Purchase,675.27,43439.34,7,False
71,19,2026-01-25 12:49:00,Purchase,226.57,3092.07,7,False
72,183,2026-03-03 21:43:00,Deposit,777.28,21097.13,10,False
73,141,2026-03-10 09:15:00,Transfer,115.84,78834.27,3,False
74,164,2026-05-12 10:50:00,Withdrawal,3775.26,72003.05,9,False
75,127,2025-02-08 06:18:00,Withdrawal,297.12,72729.04,8,False
76,176,2025-02-13 15:29:00,Deposit,206.13,39766.18,1,False
77,185,2025-05-06 09:47:00,Transfer,657.14,43742.28,12,False
78,39,2025-02-06 06:46:00,Withdrawal,3424.36,80946.47,3,False
79,79,2026-07-22 20:01:00,Withdrawal,2693.49,13330.13,1,False
80,122,2026-01-23 07:18:00,Withdrawal,319.16,36916.37,9,False
81,173,2026-04-15 04:07:00,Transfer,58.47,91576.16,11,False
82,58,2026-02-21 14:24:00,Withdrawal,15.94,40242.37,2,False
83,226,2025-02-25 07:15:00,Deposit,778.64,18367.93,4,False
84,266,2026-02-11 09:35:00,Transfer,200.98,79842.43,9,False
85,111,2025-10-20 04:52:00,Deposit,379.02,73543.31,11,False
86,107,2025-09-17 18:26:00,Purchase,2342.15,44119.19,3,False
87,197,2025-03-19 07:06:00,Deposit,702.67,38580.47,1,False
88,135,2025-06-22 08:39:00,Purchase,722.36,75806.41,6,False
89,88,2025-05-21 16:21:00,Transfer,845.57,42199.43,10,False
90,101,2025-07-04 04:56:00,Deposit,888.79,66452.48,6,False
91,52,2025-03-13 14:37:00,Purchase,1151.65,27719.85,3,False
92,43,2026-02-26 05:05:00,Withdrawal,1959.96,68806.6,5,False
93,112,2026-08-18 18:43:00,Withdrawal,1113.45,74983.14,11,False
94,215,2025-06-05 01:23:00,Withdrawal,2018.07,98984.65,9,False
95,214,2025-10-01 20:09:00,Transfer,233.29,48956.67,7,False
96,94,2025-12-06 16:36:00,Deposit,1170.15,84704.08,12,False
97,162,2025-01-12 14:58:00,Purchase,216.27,7627.34,10,False
98,128,2026-02-02 17:25:00,Transfer,470.82,75884.55,9,False
99,25,2025-02-21 13:19:00,Purchase,572.43,46866.66,7,False
100,160,2026-06-08 11:09:00,Deposit,1670.67,68705.43,9,False
101,43,2025-05-21 00:59:00,Deposit,984.99,70340.74,2,False
102,14,2025-01-14 10:44:00,Transfer,2104.34,23169.72,8,False
103,167,2025-05-06 08:46:00,Transfer,11706.8,21646.29,9,True
104,7,2025-11-14 01:20:00,Deposit,1277.32,89844.25,9,False
105,198,2025-01-20 15:57:00,Purchase,3348.3,10686.54,9,False
106,116,2025-04-21 16:56:00,Withdrawal,411.6,46191.85,2,False
107,139,2025-11-26 07:59:00,Purchase,159.1,88578.2,3,False
108,44,2025-04-10 15:40:00,Withdrawal,20.89,8871.77,10,False
109,80,2025-01-09 09:10:00,Purchase,294.03,3807.87,11,False
110,8,2025-03-19 23:07:00,Transfer,350.47,71482.48,9,False
111,238,2026-08-13 21:16:00,Deposit,1263.93,37035.43,8,False
112,58,2026-07-24 22:57:00,Deposit,4176.87,36807.87,7,False
113,266,2026-01-18 19:27:00,Purchase,242.59,79728.24,10,False
114,44,2026-05-16 18:21:00,Purchase,47.35,8857.85,6,False
115,207,2025-12-09 17:19:00,Deposit,87.17,83466.72,5,False
116,268,2025-04-19 06:09:00,Deposit,674.68,42478.48,3,False
117,208,2025-09-04 08:29:00,Deposit,956.38,52494.85,1,False
118,60,2025-09-22 16:26:00,Purchase,3646.07,87118.02,2,False
119,187,2026-04-22 08:15:00,Purchase,225.12,55609.77,7,False
120,257,2025-08-22 08:51:00,Purchase,873.31,21613.22,3,False
121,256,2025-03-27 18:09:00,Deposit,171.22,22735.12,11,False
122,88,2026-06-16 22:39:00,Deposit,1556.03,42272.03,8,False
123,19,2025-08-29 20:50:00,Deposit,286.4,2780.26,8,False
124,162,2025-11-29 08:01:00,Purchase,3369.95,10604.11,1,False
125,254,2025-08-23 19:48:00,Transfer,767.01,17717.34,2,False
126,60,2025-07-28 02:31:00,Purchase,1289.23,86108.53,6,False
127,249,2025-09-27 20:31:00,Purchase,780.74,20164.53,2,False
128,137,2026-08-29 20:44:00,Withdrawal,13.45,77929.85,11,False
129,90,2025-08-09 00:18:00,Purchase,1905.8,76929.56,11,False
130,116,2026-01-03 19:10:00,Withdrawal,502.44,45577.27,3,False
131,231,2026-05-09 18:11:00,Deposit,183.36,81973.86,8,False
132,142,2025-09-16 13:49:00,Withdrawal,106.4,19534.08,6,False
133,251,2025-03-01 16:05:00,Deposit,239.77,78060.8,5,False
134,51,2025-12-16 10:16:00,Deposit,33.54,12543.35,11,False
135,77,2025-06-28 23:41:00,Transfer,206.73,37453.85,7,False
136,167,2025-01-04 10:16:00,Transfer,1209.36,30854.09,2,False
137,89,2025-01-08 03:44:00,Withdrawal,944.15,2288.56,4,False
138,83,2025-04-05 09:17:00,Withdrawal,1387.43,47284.35,4,False
139,74,2025-07-31 20:47:00,Transfer,661.67,15552.8,8,False
140,154,2026-05-29 11:03:00,Purchase,182.89,26416.61,9,False
141,147,2026-08-25 17:03:00,Deposit,1435.04,53586.58,7,False
142,166,2025-06-14 07:37:00,Purchase,1280.01,0,9,False
143,175,2025-12-02 21:17:00,Deposit,808.45,25538.63,5,False
144,126,2025-08-07 17:40:00,Transfer,837.24,36116.51,5,False
145,51,2026-03-21 09:57:00,Withdrawal,75.65,12484.83,8,False
146,220,2026-01-18 20:15:00,Deposit,277.62,62031.63,10,False
147,212,2025-04-03 15:53:00,Withdrawal,45.04,64046.03,10,False
148,146,2026-01-24 01:59:00,Deposit,424.93,65590.94,12,False
149,254,2025-07-18 11:15:00,Purchase,1408.15,18837.17,6,False
150,62,2025-05-04 10:03:00,Deposit,37.95,94316.06,2,False
151,33,2025-04-21 08:22:00,Withdrawal,886.43,68492.92,10,False
152,249,2025-04-12 17:04:00,Deposit,321.07,19908.13,9,False
153,204,2025-09-17 06:10:00,Withdrawal,278.4,63104.87,4,False
154,249,2025-01-05 10:00:00,Purchase,1570.2,21180.04,1,False
155,49,2025-07-30 18:47:00,Purchase,344.36,51563.33,11,False
156,177,2025-03-01 02:47:00,Deposit,3539.29,78814.62,7,False
157,128,2025-07-18 22:50:00,Deposit,743.32,75889.84,12,False
158,160,2026-07-09 01:30:00,Deposit,1181.22,67515.87,5,False
159,82,2025-01-24 15:54:00,Deposit,2339.93,58429.83,5,False
160,64,2026-01-21 11:20:00,Deposit,135.12,60797.3,7,False
161,224,2026-05-24 14:24:00,Transfer,303.69,30700.4,2,False
162,14,2025-06-23 23:13:00,Transfer,396.37,24823.18,9,False
163,216,2025-08-26 11:56:00,Withdrawal,312.03,84186.44,4,False
164,104,2025-06-28 18:18:00,Transfer,1179.81,60364.27,5,False
165,62,2026-05-23 07:53:00,Withdrawal,2365.76,95095.13,1,False
166,242,2025-05-07 00:04:00,Transfer,451.96,45892.51,4,False
167,20,2025-11-13 12:48:00,Purchase,1243.9,68506.29,7,False
168,159,2025-03-27 10:22:00,Transfer,1237.37,27621.54,12,False
169,103,2025-12-11 09:37:00,Transfer,525.97,74812.61,7,False
170,88,2025-04-19 21:58:00,Withdrawal,1428.72,42105.85,2,False
171,72,2026-05-23 21:47:00,Withdrawal,459.57,28068.64,2,False
172,18,2025-06-13 04:49:00,Withdrawal,3137.39,55141.7,9,False
173,180,2025-03-31 00:33:00,Transfer,724.39,29952.48,10,False
174,129,2026-07-11 19:15:00,Withdrawal,323.08,57098.49,6,False
175,76,2025-12-06 16:12:00,Transfer,270.46,24455.86,2,False
176,157,2026-04-30 12:41:00,Withdrawal,172.3,83384.86,9,False
177,268,2025-03-24 23:35:00,Purchase,2940.26,45168.74,7,False
178,115,2026-05-18 21:31:00,Purchase,96.16,47591.81,5,False
179,75,2026-01-14 12:52:00,Withdrawal,2204.0,32623.27,5,False
180,178,2026-01-15 20:55:00,Deposit,193.15,14206.08,4,False
181,101,2026-03-29 08:20:00,Transfer,2392.31,67787.36,4,False
182,81,2025-12-14 17:12:00,Withdrawal,120.6,98409.75,9,False
183,70,2026-06-09 13:17:00,Deposit,342.87,14388.33,9,False
184,159,2025-07-07 18:57:00,Deposit,243.41,26741.59,7,False
185,88,2025-01-13 05:09:00,Transfer,63966.0,49616.57,2,True
186,165,2025-11-03 15:33:00,Withdrawal,60.41,47956.92,1,False
187,98,2026-04-25 14:32:00,Withdrawal,804.85,56283.94,3,False
188,238,2025-03-08 00:50:00,Purchase,982.85,35524.35,6,False
189,150,2026-02-23 16:45:00,Transfer,2138.5,42235.48,5,False
190,7,2026-02-24 02:33:00,Deposit,150.57,88597.56,12,False
191,216,2025-08-31 23:00:00,Transfer,621.47,83670.48,4,False
