card_id,customer_id,card_type,credit_limit,credit_card_balance,minimum_payment_due,payment_due_date,last_credit_card_payment_date,rewards_points
1,15,Platinum,15000,1703.14,85.16,2026-04-11,2026-03-18,4710
2,182,Platinum,30000,1091.92,54.6,2025-10-26,2025-09-12,7365
3,29,Gold,50000,7324.57,366.23,2025-10-06,2025-09-10,19998
4,42,Platinum,5000,2354.88,117.74,2025-04-02,2025-02-17,4219
5,107,Platinum,10000,8598.12,429.91,2026-06-04,2026-05-01,4592
6,133,Standard,30000,5584.41,279.22,2026-04-14,2026-04-03,3410
7,1,Gold,5000,1248.06,62.4,2025-01-13,2024-12-27,5503
8,22,Gold,20000,2198.47,109.92,2025-12-04,2025-11-28,7527
9,196,Standard,15000,11972.29,598.61,2026-04-20,2026-04-17,2135
10,47,Gold,20000,10294.05,514.7,2025-03-06,2025-02-04,12161
11,75,Gold,15000,12468.33,623.42,2025-03-10,2025-01-30,11401
12,179,Platinum,15000,9150.0,457.5,2026-05-14,2026-04-18,19503
13,98,Standard,50000,30378.04,1518.9,2026-02-18,2026-02-08,5030
14,20,Gold,15000,11193.74,559.69,2025-12-12,2025-11-01,18599
15,129,Platinum,5000,205.1,50,2025-12-02,2025-11-22,5750
16,184,Gold,30000,121.08,50,2026-11-09,2026-09-25,3702
17,94,Platinum,50000,19768.33,988.42,2025-09-06,2025-08-25,4881
18,11,Gold,10000,2235.13,111.76,2025-01-04,2024-12-07,4029
19,66,Platinum,10000,6206.41,310.32,2026-11-25,2026-10-19,3666
20,134,Standard,5000,2601.26,130.06,2026-10-10,2026-09-28,18363
21,2,Gold,15000,6415.47,320.77,2025-05-02,2025-04-14,12063
22,9,Standard,20000,1437.51,71.88,2025-04-11,2025-02-28,2546
23,44,Gold,15000,5616.91,280.85,2026-09-18,2026-09-05,16008
24,68,Gold,15000,7986.45,399.32,2025-02-16,2025-01-25,696
25,73,Gold,30000,26647.85,1332.39,2026-05-23,2026-05-20,10612
26,144,Standard,15000,1887.1,94.36,2026-05-23,2026-05-06,18027
27,191,Platinum,20000,8545.88,427.29,2025-12-18,2025-12-07,6533
28,25,Gold,20000,1569.26,78.46,2026-03-05,2026-01-31,468
29,86,Standard,30000,22217.63,1110.88,2025-08-13,2025-07-28,17486
30,150,Platinum,30000,3393.57,169.68,2025-02-15,2025-01-02,1547
31,41,Gold,30000,12135.7,606.79,2026-02-08,2025-12-27,18278
32,79,Standard,50000,39039.57,1951.98,2025-01-21,2025-01-20,16292
33,102,Platinum,30000,17540.83,877.04,2025-05-04,2025-05-01,15580
34,195,Platinum,15000,8688.85,434.44,2025-09-10,2025-07-27,4745
35,70,Gold,5000,3444.8,172.24,2026-11-21,2026-10-16,11227
36,104,Standard,30000,13253.78,662.69,2026-12-12,2026-11-10,1516
37,97,Platinum,15000,3222.61,161.13,2025-02-14,2025-01-12,10944
38,159,Platinum,5000,2828.83,141.44,2025-03-14,2025-02-18,13177
39,57,Platinum,20000,12900.59,645.03,2025-05-28,2025-04-27,15148
40,91,Platinum,5000,934.12,50,2026-09-17,2026-08-06,8207
41,53,Gold,50000,2790.93,139.55,2026-12-23,2026-12-19,13727
42,50,Gold,5000,4344.48,217.22,2025-03-17,2025-02-14,8954
43,125,Standard,5000,3794.31,189.72,2025-08-23,2025-08-05,13301
44,180,Gold,10000,4768.07,238.4,2026-01-16,2025-12-07,5766
45,174,Gold,50000,7257.54,362.88,2026-04-07,2026-03-26,15234
46,166,Gold,15000,7422.68,371.13,2025-08-21,2025-08-16,425
47,189,Standard,10000,3086.49,154.32,2026-08-29,2026-08-06,2879
48,188,Platinum,15000,6963.79,348.19,2025-08-09,2025-07-12,2831
49,5,Gold,5000,371.49,50,2025-01-22,2024-12-25,7578
50,109,Platinum,15000,1990.11,99.51,2025-12-31,2025-11-20,4032
51,131,Gold,15000,5.84,50,2025-03-23,2025-02-15,9323
52,67,Gold,10000,3025.25,151.26,2025-03-09,2025-02-20,16315
53,89,Standard,15000,7430.58,371.53,2025-01-18,2024-12-11,377
54,176,Platinum,50000,42509.54,2125.48,2025-05-15,2025-04-02,9622
55,151,Platinum,20000,15491.8,774.59,2025-11-07,2025-10-23,11555
56,19,Standard,20000,5178.63,258.93,2026-12-14,2026-11-06,9826
57,162,Gold,30000,15723.83,786.19,2025-05-03,2025-03-31,15145
58,34,Platinum,5000,3847.18,192.36,2025-05-09,2025-05-01,6365
59,69,Standard,20000,3404.93,170.25,2025-08-25,2025-08-12,5270
60,60,Gold,20000,1945.16,97.26,2026-02-16,2026-02-11,15062
61,119,Platinum,30000,5481.24,274.06,2026-05-06,2026-04-07,5253
62,137,Gold,30000,13226.39,661.32,2026-07-01,2026-06-09,119
63,93,Gold,20000,2941.13,147.06,2026-10-19,2026-09-28,8540
64,118,Platinum,30000,28072.33,1403.62,2026-02-28,2026-01-30,4248
65,90,Platinum,5000,3060.21,153.01,2026-09-06,2026-08-22,6871
66,108,Standard,50000,42039.85,2101.99,2026-08-12,2026-08-08,15975
67,12,Standard,30000,25040.77,1252.04,2025-11-06,2025-10-02,12291
68,13,Platinum,20000,11762.43,588.12,2026-12-28,2026-11-25,6018
69,153,Platinum,5000,3200.27,160.01,2025-07-29,2025-07-12,14281
70,155,Standard,10000,9301.05,465.05,2025-03-09,2025-02-12,17478
71,116,Platinum,20000,18663.21,933.16,2026-06-08,2026-05-20,10977
72,127,Platinum,50000,44876.42,2243.82,2025-11-23,2025-10-10,10165
73,96,Standard,50000,44824.68,2241.23,2025-07-23,2025-07-12,10850
74,71,Platinum,20000,14101.68,705.08,2025-01-10,2024-12-27,10667
75,65,Platinum,15000,3833.0,191.65,2026-07-08,2026-06-25,4255
76,132,Platinum,20000,1972.87,98.64,2026-05-30,2026-04-15,13669
77,138,Platinum,30000,17561.21,878.06,2025-05-08,2025-04-14,5373
78,145,Platinum,15000,3141.04,157.05,2025-03-24,2025-03-06,19979
79,3,Platinum,15000,6854.85,342.74,2025-07-07,2025-06-09,5071
80,154,Gold,30000,13023.47,651.17,2026-11-29,2026-11-11,7574
81,8,Platinum,20000,15019.15,750.96,2026-08-16,2026-07-13,2768
82,152,Gold,15000,9060.41,453.02,2025-02-27,2025-01-13,7062
83,18,Standard,50000,4996.68,249.83,2026-03-20,2026-03-19,3350
84,37,Platinum,15000,9319.34,465.97,2026-04-11,2026-02-28,9191
85,192,Platinum,20000,4827.86,241.39,2025-10-05,2025-09-10,4694
86,78,Standard,5000,1228.86,61.44,2025-10-29,2025-10-05,13704
87,30,Standard,10000,64.56,50,2025-07-28,2025-06-24,14452
88,135,Standard,10000,5587.36,279.37,2025-12-02,2025-10-23,13451
89,54,Platinum,15000,9097.97,454.9,2026-02-22,2026-01-13,12681
90,7,Platinum,50000,25232.5,1261.62,2026-08-18,2026-07-21,6871
