feedback_id,customer_id,feedback_date,feedback_type,resolution_status,resolution_date
1,179,2026-03-06,Suggestion,Pending,
2,137,2025-05-12,Technical Issue,Pending,
3,21,2025-03-13,Suggestion,Pending,
4,52,2025-02-14,Complaint,Pending,
5,138,2026-05-29,Praise,Resolved,2026-06-10
6,54,2026-02-11,Suggestion,Resolved,2026-02-20
7,95,2025-02-21,Technical Issue,In Progress,
8,61,2025-01-26,Complaint,Resolved,2025-01-29
9,29,2025-04-20,Praise,Pending,
10,75,2026-07-29,Technical Issue,In Progress,
11,108,2026-08-25,Suggestion,Pending,
12,143,2026-03-12,Praise,In Progress,
13,27,2026-08-12,Technical Issue,Resolved,2026-08-25
14,180,2025-01-14,Praise,Resolved,2025-01-22
15,163,2025-01-25,Complaint,Resolved,2025-02-01
16,121,2026-02-18,Suggestion,In Progress,
17,55,2025-10-13,Complaint,Pending,
18,4,2026-01-17,Complaint,Pending,
19,179,2025-01-01,Suggestion,In Progress,
20,25,2025-06-02,Complaint,In Progress,
21,170,2026-07-31,Complaint,In Progress,
22,46,2026-06-14,Praise,Pending,
23,13,2025-11-13,Technical Issue,In Progress,
24,65,2025-06-23,Suggestion,Pending,
25,48,2025-01-19,Complaint,Pending,
26,44,2026-04-14,Technical Issue,Resolved,2026-04-19
27,183,2025-08-14,Suggestion,In Progress,
28,92,2025-01-23,Technical Issue,Pending,
29,183,2026-05-03,Suggestion,In Progress,
30,97,2026-04-01,Complaint,Pending,
31,87,2026-06-25,Technical Issue,In Progress,
32,172,2026-06-08,Complaint,Resolved,2026-06-19
33,12,2025-06-27,Complaint,Pending,
34,165,2026-07-26,Complaint,In Progress,
35,69,2026-08-10,Suggestion,Resolved,2026-08-23
36,101,2025-09-08,Suggestion,Resolved,2025-09-15
37,185,2026-01-24,Technical Issue,In Progress,
38,64,2025-06-10,Praise,Resolved,2025-06-12
39,54,2025-03-03,Complaint,Pending,
40,64,2025-12-24,Suggestion,Pending,
41,192,2026-05-14,Complaint,In Progress,
42,177,2026-03-28,Complaint,In Progress,
43,193,2025-03-16,Complaint,In Progress,
44,130,2025-03-11,Technical Issue,Pending,
45,141,2025-06-29,Suggestion,In Progress,
46,108,2026-04-03,Complaint,Resolved,2026-04-15
47,105,2025-08-20,Complaint,In Progress,
48,25,2025-07-20,Complaint,Resolved,2025-07-29
49,107,2026-08-14,Suggestion,In Progress,
50,154,2025-10-18,Suggestion,Resolved,2025-10-25
51,18,2026-03-06,Suggestion,Pending,
52,115,2025-10-07,Praise,Pending,
53,85,2025-12-13,Complaint,Pending,
54,79,2026-04-05,Complaint,In Progress,
55,141,2025-08-20,Complaint,Pending,
56,75,2026-06-13,Praise,Pending,
57,198,2026-07-23,Technical Issue,Pending,
58,107,2025-01-31,Praise,Resolved,2025-02-11
59,11,2026-08-03,Suggestion,Pending,
60,31,2026-03-24,Suggestion,Pending,
61,143,2026-08-14,Complaint,Pending,
62,198,2026-01-12,Praise,In Progress,
63,62,2026-06-22,Technical Issue,Resolved,2026-07-02
64,161,2025-08-12,Praise,Resolved,2025-08-13
65,14,2025-08-14,Technical Issue,Pending,
66,43,2025-04-10,Technical Issue,Pending,
67,63,2025-02-11,Suggestion,Resolved,2025-02-22
68,106,2025-12-07,Suggestion,Resolved,2025-12-14
69,66,2025-06-23,Suggestion,In Progress,
70,148,2025-10-19,Praise,Pending,
71,193,2025-05-24,Complaint,Resolved,2025-05-29
72,191,2025-11-15,Complaint,In Progress,
73,156,2026-03-12,Complaint,In Progress,
74,75,2025-08-30,Complaint,Resolved,2025-09-08
75,20,2025-10-28,Praise,Pending,
76,20,2025-04-07,Complaint,Pending,
77,126,2026-07-10,Suggestion,Pending,
78,129,2026-08-18,Praise,Resolved,2026-08-29
79,124,2025-01-09,Technical Issue,Resolved,2025-01-23
80,182,2025-07-29,Complaint,Resolved,2025-07-30
81,82,2026-01-16,Technical Issue,Pending,
82,6,2026-06-15,Suggestion,In Progress,
83,174,2025-04-01,Complaint,Resolved,2025-04-02
84,60,2026-08-25,Praise,Resolved,2026-09-01
85,12,2025-12-10,Suggestion,Resolved,2025-12-22
86,22,2026-02-07,Suggestion,Resolved,2026-02-21
